URL Source,Article,Summary
https://www.bbc.com/telugu/india-41969021,అందరూ ఉన్నా ఆదుకునేవారు లేక బిస్కెట్లు తిని బతుకుతున్న ఓ తండ్రి,"కన్న కొడుకులు కాదన్నారు. ఆస్తులన్నీ లాక్కుని ఈయన్ని రోడ్డున పడేశారు. తిండి లేక, ఆకలికి తట్టుకోలేక బిస్కెట్లు తింటూ కాలం వెళ్లదీస్తున్నారు."
https://www.bbc.com/telugu/india-50238841,తెలంగాణ ఆర్టీసీ సకల జనభేరి: ‘ప్రభుత్వంలో విలీనం సహా డిమాండ్లన్నీ సాధించేవరకూ పోరాటం ఆగదు’,సమ్మె బాట పట్టిన తెలంగాణ ఆర్టీసీ కార్మికులు బుధవారం హైదరాబాద్‌లో సకల జనభేరి పేరుతో సభ నిర్వహించారు.
https://www.bbc.com/telugu/international-43343996,ట్రంప్-కిమ్: గతంలో ఇలా తిట్టుకున్నారు,"ఉత్తర కొరియా అధ్యక్షుడు కిమ్ జోంగ్‌ ఉన్‌‌ను కలిసి మాట్లాడటానికి అమెరికా అధ్యక్షుడు డొనాల్డ్ ట్రంప్ అంగీకరించారు. ఈ విషయం అంతర్జాతీయంగా చర్చనీయాంశమైంది. వాళ్లిద్దరూ స్నేహపూర్వక బంధం దిశగా అడుగేస్తున్నా, గతంలో వాళ్లిద్దరూ ఒకరిపై ఒకరు చేసుకున్న విమర్శలు, అవమానాలు కూడా తెరమీదకొస్తున్నాయి."
https://www.bbc.com/telugu/international-48334300,డోనల్డ్ ట్రంప్: ‘యుద్ధం వస్తే ఇక ఇరాన్‌ అంతమైనట్లే.. ఇంకెప్పుడూ అమెరికాను బెదిరించొద్దు’,అమెరికా అధ్యక్షుడు డోనల్డ్ ట్రంప్ ఇరాన్‌ను మరోసారి హెచ్చరించారు. ఒకవేళ రెండు దేశాల మధ్య యుద్ధం వస్తే అది ఇరాన్ 'ముగింపు'నకు దారి తీస్తుందన్నారు.
https://www.bbc.com/telugu/international-44770447,ఇథియోపియా - ఎరిట్రియాల మధ్య ముగిసిన యుద్ధం.. ఇరవయ్యేళ్ల వివాదానికి తెర,"ఇథియోపియా, ఎరిట్రియాల మధ్య సుదీర్ఘకాలంగా సాగుతున్న యుద్ధం ముగిసింది. సరిహద్దు విషయంలో ఇరవయ్యేళ్లుగా ఉన్న వివాదానికి ముగింపు పలుకుతూ ఇరు దేశాల అధ్యక్షులు అంగీకారానికి వస్తూ ఒక సంయుక్త ఒడంబడికపై సంతకం చేశారు."
https://www.bbc.com/telugu/india-53463413,రిలయన్స్‌ జియో 5జీ వస్తోంది.. కానీ భారతీయులు ఎన్నాళ్లు ఎదురు చూడాలి?,"రిలయన్స్‌ జియో ""మేడ్ ఇన్ ఇండియా"" 5జీ టెక్నాలజీ ప్రయోగానికి పూర్తిగా సిద్ధంగా ఉందని రిలయన్స్ ఇండస్ట్రీస్ లిమిటెడ్ వార్షిక సమావేశంలో కంపెనీ అధినేత ముకేశ్‌ అంబానీ ప్రకటించారు."
https://www.bbc.com/telugu/india-47774152,"రాహుల్ గాంధీ: మోదీ పేదలపై చేస్తే, కాంగ్రెస్ పేదరికంపై సర్జికల్ స్ట్రైక్స్ చేస్తుంది",కాంగ్రెస్ అధ్యక్షుడు రాహుల్ గాంధీ తెలంగాణలో ప్రచారం నిర్వహించారు. ఎంపీ అభ్యర్థి కె మదన్ మోహన్ రావు తరఫున జహీరాబాద్‌ బహిరంగ సభలో మాట్లాడారు.
https://www.bbc.com/telugu/india-45968995,CBI vs CBI: కాకినాడ సానా సతీశ్ బాబు ఫిర్యాదు ఎందుకు సంచలనమైంది?,భారత్‌లోని అత్యున్నత దర్యాప్తు సంస్థ సీబీఐ (సెంట్రల్ బ్యూరో ఆఫ్ ఇన్వెస్టిగేషన్) తన భవనంలో తానే తనిఖీలు చేసింది. ఆ సంస్థ డీఎస్పీ దేవేంద్ర కుమార్‌ను అరెస్ట్ చేసింది. స్పెషల్ డైరెక్టర్ రాకేశ్ ఆస్థానాపై కేసు పెట్టింది.
https://www.bbc.com/telugu/international-42851109,‘స్టాలిన్ మృతి’: బ్రిటిష్ కామెడీ సినిమాపై మండిపడ్డ రష్యా.. దేశవ్యాప్తంగా ప్రదర్శన నిలిపివేత,‘స్టాలిన్ మృతి’ (ది డెత్ ఆఫ్ స్టాలిన్) సినిమాను దేశంలో ఎక్కడా ప్రదర్శించకూడదని రష్యా ప్రభుత్వం గతవారం నిర్ణయించింది.
https://www.bbc.com/telugu/india-55225922,ఏలూరు మిస్టరీ వ్యాధి: ‘సీసం’ కారణమని ఎయిమ్స్ నిపుణుల నిర్ధరణ... కేంద్ర బృందం పర్యటన,"ఆంధ్రప్రదేశ్‌లోని ఏలూరు నగరంతో పాటుగా సమీపంలోని కొన్ని గ్రామాలను కలవరపరుస్తున్నఅంశంలో అసలు సమస్య కారణాల అన్వేషణ వేగవంతమయ్యింది. పలు సందేహాలు, అనేక అనుమానాల మధ్య ఉన్నత స్థాయి వైద్యాధికారుల బృందాలు పరిశీలన ఉధృతమయ్యింది."
