URL Source,Article,Summary
https://www.bbc.com/marathi/international-55871759,आईचा मृतदेह 10 वर्षं फ्रीझरमध्ये ठेवणाऱ्या महिलेला अटक,जपानमधील एका महिलेने तिच्या आईचा मृतदेह फ्रीजरमध्ये ठेवल्याची घटना उघडकीस आलीय. जपानमधील पोलिसांनी या महिलेला अटक केलीय.
https://www.bbc.com/marathi/india-53413177,कोरोना शिक्षण : पहिली ते आठवीची ऑनलाईन शाळा दीड तासापेक्षा जास्त वेळ नको- केंद्र सरकार #5मोठ्याबातम्या,आज सकाळी विविध वर्तमानपत्रं तसंच वेबसाइट्सवर प्रसिद्ध झालेल्या बातम्यांपैकी पाच महत्त्वाच्या बातम्यांचा थोडक्यात आढावा:
https://www.bbc.com/marathi/international-46173302,झिम्बाब्वेचे 'पेंन्टेड लांडगे' : आफ्रिकेतील जंगलात हे आहेत खरे राजे,"ते विस्मयकारक आहेत, यात शंकाच नाही आणि या प्राण्याला दिलेलं 'पेंन्टेड लांडगे' हे नावही त्यांना साजेसं असंच आहे."
https://www.bbc.com/marathi/41191248,नोकरीच्या पहिल्या दहा दिवसात काय कराल? काय टाळाल?,"आपण नवीन नोकरीवर रुजू झालो नेमकं काय करावं, काय करू नये, असे अनेक प्रश्न मनात येतात. नव्याचे नऊ दिवस म्हणून बरेचदा आव्हानात्मक कामं सुरुवातीलाच आपण हाती घेत नाही. बराच वेळ तर आपली जबाबदारी काय, हेच समजून घेण्यात जातो."
https://www.bbc.com/marathi/india-48925493,सरकारी अधिकाऱ्याची शेतकऱ्याला बेदम मारहाण?- फॅक्ट चेक,एका व्यक्तीला मारहाण होत असल्याचा व्हीडिओ सध्या सोशल मीडियावर प्रचंड व्हायरल होत आहे.
https://www.bbc.com/marathi/india-55679773,School Reopen : महाराष्ट्रातील शाळा 27 जानेवारीपासून सुरू होणार - वर्षा गायकवाड,"राज्यातील 5 ते 8 वीच्या शाळा प्रत्यक्ष विद्यार्थ्यांच्या उपस्थितीत 27 जानेवारीपासून सुरू होतील, अशी माहिती शालेय शिक्षण मंत्री वर्षा गायकवाड यांनी आज मुख्यमंत्री उद्धव ठाकरे यांना शिक्षण विभागाच्या बैठकीत दिली आहे."
https://www.bbc.com/marathi/international-47539380,उत्तर कोरिया निवडणूक: किम जाँग उन यांचे खासदारांच्या यादीत नावच नाही,उत्तर कोरियामध्ये निवडणुका पार पडल्या. किम जाँग उन यांच्या पक्षाचे 100 टक्के खासदार संसदेत निवडून गेले आहेत पण यावेळी मात्र किम जाँग उन यांचे खासदारांच्या यादीत नावच नाही.
https://www.bbc.com/marathi/international-55255307,कोरोना लस : श्रीमंत देशांमध्ये लस जमा करण्याची स्पर्धा,"श्रीमंत देश कोरोनाची लस जमा करण्याची स्पर्धा करत असल्याचं पीपल्स व्हॅक्सीन अलायन्स या संघटनेनं म्हटलं आहे. यामुळे गरीब देशातील लोक कोरोना लशीपासून वंचित राहू शकतात, असा इशाराही संघटनेनं दिला आहे."
https://www.bbc.com/marathi/international-49792063,नरेंद्र मोदी आणि डोनाल्ड ट्रंप यांना 'हाऊडी' कार्यक्रमातून जगाला काय दाखवायचं आहे?,पंतप्रधान नरेंद्र मोदींचा अमेरिका दौरा चर्चेत आहे. गेल्या आठवड्यापासून हाऊडी मोदी या कार्यक्रमाची सोशल मीडियावर चर्चा सुरू आहे. या अमेरिकावारीतून मोदींना नेमकं काय साधायचं आहे?
https://www.bbc.com/marathi/india-54872445,"मनोज चौधरी आत्महत्या: एसटी कर्मचाऱ्याच्या आत्महत्येनंतर सरकारचा निर्णय, दोन महिन्यांचा पगार जमा करणार","माझ्या आत्महत्येला एसटी महामंडळातील कार्यपद्धती आणि ठाकरे सरकार जबाबदार असल्याची सुसाईड नोट लिहून जळगावातील एका कंडक्टरनं आत्महत्या केली आहे, असं जळगाव ग्रामीण पोलिसांनी सांगितलं आहे."
https://www.bbc.com/marathi/india-46429130,"बुलंदशहर : पोलीस अधिकाऱ्याच्या हत्येप्रकरणी 2 अटकेत, स्यानात तणाव कायम",सोमवारी घडलेल्या घटनेच्या धक्क्यातून बुलंदशहरातील स्याना अजूनही सावरलेलं नाही. शहर अजूनही पूर्वपदावर नाही. पोलीसांनी घटनेचा तपास सुरू केला आहे.
